,,,,,,,,,,
"10th IEEE International Test Conference India 2026
July 19-21, 2026, Radisson Blu, Marathahalli, Bengaluru, India",,,,,,,,,,
"TUTORIALS & INDUSTRY TEST CHALLENGE | Sunday, July 19, 2026",,,,,,,,,,
08:00am - 09:15am,REGISTRATIONS,,,,,,,,,
HALL NAME,GRAND VICTORIA 1,,,GRAND VICTORIA 2,,,ARABICA & ROBUSTA,,,BRAIN BOX
,"Tutorial Track 1(a)
Session chair : Bharath Nandakumar",,,"Tutorial Track 2(a)
Session chair : Rajit Karmakar",,,"Tutorial Track 3(a)
Session chair : Rama Sireesha Arisetti",,,"Tutorial Track 4(a)
Session chair : Abhishek Chaudhary"
09:15am - 10:45am,"Squeezing Quality into Cents: DFT Strategies for Low-cost
MCUs
Vishal Diwan and Mudasir Kawoosa (Texas Instruments)",,,"LLM for VLSI Design, Automation and Test
Chandan Karfa (IIT Guwahati)",,,"Mission Mode Scan Dump Using IJTAG and TAP Customization:
Architecture, Implementation, and Practical Considerations
Sreekanth G Pai and Raseena KA (Marvell)",,,"Testing Chiplet-Based 2.5D/3D ICs : An Academia/Industry perspective
Binod Kumar, Manisha Kumari (IIT Jodhpur), Jaynarayan T Tudu (IIT Tirupati), Jyotirmoy Saikia and Sagar Kumar (Cadence)"
10:45am - 11:15am,Tea/Coffee Break,,,,,,,,,
11:15am - 12:45pm,"Closed Loop Test Engineering - From Design to Mass
Production
Maheedhar Jalasutram, Jeren Ku and Daejin Shin (Google)",,,"Machine Learning is Inevitable or Not: A DFT Designer’s View
Ankush Srivastava (Qualcomm)",,,"Beyond Scan Dump: Why IEEE P2929 Enables True Scan State
Extraction
Lee Harrison, Andy Hughes and Peter Orlando (Siemens EDA)",,,"Testing Chiplet-Based 2.5D/3D ICs : An Academia/Industry perspective
Binod Kumar, Manisha Kumari (IIT Jodhpur), Jaynarayan T Tudu (IIT Tirupati), Jyotirmoy Saikia and Sagar Kumar (Cadence)"
12:45pm - 01:45pm,Lunch Break,,,,,,,,,
,"Tutorial Track 1(b)
Session chair : Bharath Nandakumar",,,"Tutorial Track 2(b)
Session chair : Rajit Karmakar",,,"Tutorial Track 3(b)
Session chair : Rama Sireesha Arisetti",,,"ITC-at-ITC
Talk1
Talk2
Break
Talk3
 Talk4
Break
Panel: Correlation Crisis in Semiconductor Test: Can AI Bridge the Gap? Moderator: Sameer Chillarige "
01:45pm - 03:15pm,"Testing to Self Testing: Self Test Driven Functional Safety
for ISO 26262 Compliant Automotive SoCs
Rajesh Kumar Tiwari and Mohammed Zuber P Malek (Qualcomm)",,,"The Seamless Integration of Packetized scan and In-system
test with Advanced ATE Equipment
Lee Harrison (Siemens EDA) and Hagen Goller (Advantest)",,,"Advanced Test Data Analytics for Yield and Quality
Improvement
Navya Rastogi, Shamitha Rao, Shrestha Hota (Synopsys) and Soumya Mittal (Qualcomm)",,,
03:15pm - 03:45pm,Tea/Coffee Break,,,,,,,,,
03:45pm - 05:15pm,"Understanding Test Escapes and the Limitations of Scan DFT
Testing
Adit Singh (Auburn university)",,,"Scalable ATE Hardware Design: From Concept to Manufacturing
with Reusable Architecture
Lokapriya B, Senthilkumar Dhamodharan and Vaishnavi
Saravanan (Caliber Interconnects)",,,"Customer Centric Post Silicon Validation Approach for System on Chip (SoC)
Ravishankar Manishankar and Siloni Pilani (Intel)",,,
5:15pm - 6:15pm,No Activity Planned,,,,,,,,,
6:30pm - 7:45pm,No Activity Planned,,,,,,TTTC Workshop,,,No Activity Planned
,,,,,,,,,,
"CONFERENCE - DAY 1| Monday, July 20, 2026",,,,,,,,,,
08:00am - 09:00am,REGISTRATIONS,,,,,,,,,
HALL NAME,GRAND VICTORIA 1 & 2,,,,,,,,,
09:00am - 09:30am,"Conference Inauguration | General Co-Chair, ITC India 2026
(Opening Remarks, Conference Highlights, Lamp Lighting by Chief Guests) ",,,,,,,,,
